Where,What,Description,Link,,
Singapore,Smart City,Tiow Sengs Company,https://www.gelement.com/contact-us/,,
Singapore,Consulting,,https://www.linkedin.com/in/christophe-courte-b8453815,,
Singapore,Information,List of Think Tanks,https://en.wikipedia.org/wiki/List_of_think_tanks_in_Singapore#Centre_for_Liveable_Cities,,
Germany,RS,DLR,"Timo's Tapete, Deodato",,
Hong Kong,Research,,http://www.arch.hku.hk/staff/upad/chiu-rebecca-l-h-jp/?dept=upad,,
Hong Kong,Industry,ESRI,,,
China,Industry,MapBox,,,
Germany,Industry,MapBox,,,
Globally,Scientific Dialog,Own bussiness,,,
Canada,?,Carbon Extraction,http://carbonengineering.com/people/,,
Globally,Big Data,,http://www.splunk.com/en_us/about-us/careers.html,,
Canada,Industry,TRE,http://treuropa.com/contact/work-for-tre/,,
Italy,Industry,TRE,http://treuropa.com/contact/work-for-tre/,,
Canada,Information,,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07063.html,,
Sweden,Peace,SIPRI,https://sipri.org/,,
New Zealand,Consulting,Tenzing,http://www.bfound.net/list.aspx?CoId=1983,,
Globally,Job Board,Canadem,http://canadem.ca/,,
Globally,Job Board,indeed,https://www.indeed.com/jobs?q=Data+Architect&start=90,,
Globally,Job Board,Earth Works Jobs,http://www.earthworks-jobs.com/,,
Canada,Job Board,Geomatics Canada,http://www.geomaticscanada.com,,
Globally,Job Board,Glassdoor,https://www.glassdoor.com/index.htm,,
Switzerland,NGO,Earthobservations,https://www.earthobservations.org/opportunities.php,,
,Industry,Webmapping,http://webmapsolutions.com,,
Canada,Industry,RS,www.urthecast.com,,
Globally,Industry,Webmapping,https://here.com and http://360.here.com/,,
,Industry,Webmapping,http://360.here.com/,,
North America,Industry,RS,http://mdacorporation.com/corporate/careers/current-opportunities,,
USA,Industry,RS,http://radiant.earth/,Radiant Earth,
Netherlands,Industry,RS,https://skygeo.com/,,
Europe,Think Tank,Data,https://www.big-data-europe.eu/,,
?,Industry,Data,https://www.emc.com/microsites/bigdata/bigdata-transforms-wind-power.htm,,
Denmark,Industry,Wind Energy,https://www.vestas.com/#,,
Singapore,Research,Search (Social Media),http://next.comp.nus.edu.sg/,,
Europe,Industry,Recruiter,http://www.optimussearch.com/home/de,OptimusSearch,
Canada,Industry,Recruiter,https://talentsphere.ca/,talentsphere,
Globally,Industry,IBM,http://www-03.ibm.com/employment/?lnk=mca,IBM,
Berlin,Think Tank,Merics,https://www.merics.org/de/ueber-uns/programme/european-china-policy-unit/ectp/ectp2017/,Merics,
UK,Industry,Recruiter,https://www.recruitment-international.co.uk/top-500,recruitment international,
USA,Industry,Data competitions,https://www.kaggle.com/datasets,kaggle,
Bulgaria,Industry,Webmapping,http://www.mapwizard.eu/#home,Mapwizard,
UK,Industry,Recruiter,https://oxfordknight.co.uk/jobs/,Oxford Knight,
Globally,Industry,Recruiter,https://hophr.com/,HopHR,***
Germany,Research,Risk,http://www.geo-x.net/research-school/,Dr. Alexandra Vetter,****
USA,Industry,Consulting and Training,https://www.experfy.com/,Experfy,
UK,Research,Geographic Data Science Lab,https://geographicdatascience.com/about/join-us/,GDSL,****
Globally,News,GIS Lounge,https://www.gislounge.com,gis lounge,
New Zealand,Research,GNS Science,http://info.geonet.org.nz/display/geonet/Contact+the+team+at+GeoNet,geonet,
Globally,News,Data Science Central,http://www.datasciencecentral.com/,data scinece central,
USA,Job Board,AAG job board also non US,http://jobs.aag.org/,AAG,
USA,Industry,First Solar,http://www.firstsolar.com/en/About-Us/Locations,FirstSolar,
USA ,Research,Meta Research,http://metrics.stanford.edu/get-involved,Stanford Meta Research,
Globally,News,Geospatial World,https://www.geospatialworld.net/,Geospatial world,
Italy,Research,SENSUM,http://www.sensum-project.eu/Remote-sensing-tool,Sensum,
Brasil,Industry,McKinsey&Company,http://www.mckinsey.com/careers/search-jobs/jobs/advanced-analytics-geospatial-data-scientist-0456,Geospatial Data Scientist,
Globally,News,GISGeography,http://gisgeography.com,also data,
EUROPE,Research,ESA,http://www.esa.int/About_Us/Careers_at_ESA/What_you_need_to_know_about_the_Research_Fellowship,PostDocFellowship,
Germany/Finland,Industry,DainStudio,http://www.dainstudios.com/,DainStudio,
Germany,Industry,Datenlabor,http://datenlabor.berlin/index.php?id=7,,
USA,Industry,Agile Analytics Group,https://agileanalyticsgroup.recruiterbox.com/,,
Globally,News,MSSQL tips,https://www.mssqltips.com/sql-server-professional-development-resources/,,
USA,Industry,Cloth,http://multithreaded.stitchfix.com/careers/,Data science and Cloth,
Globally,Industry,Resumes,http://www.blueskyresumes.com/free-resume-samples/business-analyst/view/#,Resume Service,*****
Globally,Industry,News,https://www.datascienceriot.com/,Blog,
Globally,Industry,Training,http://sharpsightlabs.com/,Blog is good,
Globally,Industry,Job board,https://www.greatinsurancejobs.com/jobs/,jobs in the insurance sector,
USA,Industry,Recruiter DB,https://customdatabanks.com/,mass emal to recruiters,
globally,Industry,Recruiter DB ,http://www.searchfirm.com,search recruiter,
Globally,Society,Location Analysis,http://www.thesla.org/,,
NZ,Industry,GIS,http://www.interpret.co.nz/,ESRI stuff,***
NZ,Industry,GIS Job board,http://www.gisuser.org.nz/job-opportunities,ESRI stuf mostly,***
US,Industry,Health,http://www.rwjf.org/,health,
Germany,Industry,Energy,https://vortex-energy-group.com/de/,Wind Energy,****
Singapore,Government,Smart City,https://www.smartnation.sg/,Smart Nation,****
Berlin,Conference,Rise of AI,http://riseof.ai/,AI conferenz,***
Germany,Industry,mapegy,http://www.mapegy.com/product,,**
Germany,Industry,Leverton,https://leverton.de/,AI text,*
Germany,Industry,Inspirient,https://www.inspirient.com,AI Excel,*
Germany,Industry,Planet,http://www.planet.de/,AI stuff,
Germany,Industry,Terraloupe,http://www.terraloupe.com/team/,Image recognition ,****
US,Industry,Urban Insights,www.urban-insights.com,Smart City,***
Isreal,Industry,Imagesatintl,http://www.imagesatintl.com,Satellite Imagery Analysis,
Globally,Industry,Recruiter,https://www.halcyonknights.com.au/,halcyonknights,*****
US,Industry,Azavea,https://www.azavea.com/,remote sensing (partner of radiant earth),****
US,Industry,AstroDigital,https://www.astrodigital.com/team/,remote sensing and analysis,
US,Industry,Orbital Insight,https://orbitalinsight.com,remote sensing analysis,*****
US,Industry,Descartes Lab,https://www.descarteslabs.com/contact.html,image analysis,
US,Industry,,,,
Globally,NGO,Business with the UN,https://business.un.org,,
Globally,Industry,CoFoundersLab,https://cofounderslab.com,find a partner to start a business,
Globally,Industry,DELL EMC,https://www.emc.com,,
Germany,Incubator,Gruenderszene,http://www.gruenderszene.de/finanzen/inkubatoren-deutschland,List of incubators,
Germany,Startups,deutsch startups,https://www.deutsche-startups.de,news,****
USA,Industry,civil,https://www.civisanalytics.com/,civic analytics,
USA,Industry,Digital Globe,https://www.digitalglobe.com/,remote sensing,
UK,Industry,1Spatial,https://1spatial.com/,GIS & RS,
USA,Industry,OmniEarth,http://www.omniearth.net,RS,
USA,Industry,Hexagon Geospatial,http://www.hexagongeospatial.com/,,
Australia,Industry,Geoimage,http://www.geoimage.com.au/,RS,
